RawService,Categories,Source
Urban Tree Planting Program,Environmental Programs,boss-draft-2026-09-08
Valet Parking and Shuttle Service,Civic & Government Services; Community Events & Public Life,corrected
Venture Loan Fund,Small Business & Nonprofit Support,boss-draft-2026-09-08
Visual Art instruction,Arts & Creative Programs,boss-draft-2026-09-08
Visual Arts Apprenticeship,Arts & Creative Programs,boss-draft-2026-09-08
Visual and Performing Arts Programs,Arts & Creative Programs,boss-draft-2026-09-08
Vocational Training and Certifications,Employment & Workforce Training,boss-draft-2026-09-08
Volunteer Program Management,Small Business & Nonprofit Support,boss-draft-2026-09-08
Volunteer Recruitment and Placement for Nonprofits,Small Business & Nonprofit Support,boss-draft-2026-09-08
Voting & Elections,Civic & Government Services,boss-draft-2026-09-08
WIC Program,Food Assistance,boss-draft-2026-09-08
Walk-in Care,Health Care (Clinical),boss-draft-2026-09-08
Waste Management & Public Works,Civic & Government Services,boss-draft-2026-09-08
Water & Energy Utility Services,Utility & Emergency Financial Aid; Civic & Government Services,boss-draft-2026-09-08
Water Quality Monitoring,Environmental Programs,boss-draft-2026-09-08
Watershed Climate Resilience Planning,Environmental Programs,boss-draft-2026-09-08
Watershed Restoration Projects,Environmental Programs,boss-draft-2026-09-08
Website Accessibility Tools,Disability & Aging Services; Civic & Government Services,boss-draft-2026-09-08
